Modul;Frage;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Fettsäuren sind entzündungsfördernd?;gesättigte Fettsäuren;Transfette;Omega 6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Fettsäuren sind entzündungshemmend?;Omega 3;Omega 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;In welchen Fetten / Ölen findet man hauptsächlich welche Fettsäuren?;gesättigte Fettsäuren in allen tierischen und industriellen Fetten;einfach ungesättigte Fettsäuren in Olivenöl (Omega 9);mehrfach  ungesättigte Fettsäuren in Fisch, Leinöl, Nussölen (Omega 3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Lipoproteine unterscheidet man?;HDL;LDL;VLDL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie werden Lipoproteine unterschieden?;entsprechend ihrer Zusammensetzung von Cholestrin, Protein und Fett;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Aufgaben hat Cholestrin im menschlichen Körper?;lebenswichtiger Stoff mit zahlreichen Funktionen;darunter die Stabilisierung den Zellmembranen;Produktion von Hormonen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie lauten die normalen Laborwerte für Cholestrin?;"Gesamtcholestrin: 200 + Lebensalter; max. 250";Berechnung Cholestrinmittelwert: LDL : HDL;LDL kleiner als 160 mg / dl;HDL grösser als 35 mg / dl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was beeinflusst die Cholestrinwerte positiv / negativ?;positiv: gesunde Ernährung, Bewegung, Schlaf;negativ: Stress, falsche Ernährung, keine Bewegung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie wird von der WHO (World HealthOrganisation) Adipositas definiert?;Bei Adipositas (Fettleibigkeit, Fettsucht) handelt es sich um ein starkes Übergewicht, welches sich durch eine über das normale Mass hinausgehende Vermehrung des Körperfetts mit krankhaften Auswirkungen kennzeichnet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wo befindet sich intraabdominales Fett?;in und um die inneren Organe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was ist der Vorteil von tierischem Protein?;hohe Wertigkeit, ideal für den Aufbau von Körperzellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was ist der Vorteil von pflanzlichem Protein?;gut kombinierbar mit tierischem Protein, steigert die biologische Wertigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wann spricht man von sauren Aminosäuren und wie heissen diese?;mehr Säuregruppen als Aminogruppen;Bsp. Glutaminsäure, Asparginsäure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie lautet die Empfehlung für die durchschnittliche und die maximale tägliche Proteinzufuhr?;Druchschnittlich 0.8 g / kg Körpergewicht;max. 1.8 g / kg Körpergewicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Folgen hat eine ständige zu hohe Proteinzufuhr?;Belastung der Nieren;hoher Harnsäuregehalt im Blut;Umwandlung zu Fett in der Leber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne die essentiellen Aminosäuren;Isoleucin;Leucin;Lysin;Phenylalanin;Threolin;Trytophan;Valin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Aminosäuren sind für den Muskelaufbau notwendig?;Isoleucin;Leucin;Valin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Nachteile haben Süssstoffe und Zuckeraustauschstoffe?;Insulinausschüttung ohne Zuckerzufuhr;kann Diabetes mellitus Typ 2 begünstigen;machen hungrig, machen dick;schädigen die Darmflora;sind zellschädigend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;In welchen Phasen wird der Ernährungsplan für einen Wettkampfsportler unterteilt?;Trainingsphase;Vorwettkampfsphase;Wettkampfsphase;Nachwettkampfsphase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was sollte auf jeden Fall beim 'Gewicht machen' vermieden werden?;Dehydrierung (Wasserverlust im Körper);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie wird Wasser in der Ernährungslehre klassifiziert?;Trinkwasser;Tafelwasser;Quellwasser;Heilwasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wo kann im menschlichen Körper Heilwasser förderlich helfen?;Zahnschmelz: Fluor;Darm: Mineralien;Knochen: Calcium;Magensäure: weil basisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie kann man Sportlergetränke nach ihrem Nährstoffgehalt einteilen?;Isotonisch;Hyperton;Hypoton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie mischt man ein Apfelschorle für einen Sportler?;2 : 3 / Saft : Wasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Getränkeregeln gibt es für Sportler?;alle 15 min etwa 200 ml Flüssigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Nachteile hat übermässiger Alkoholkonsum?;Rauschgefahr;Zellvernichtung im Gehirn;Suchtgefahr;Energiezufuhr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne die Folgen von Vitamin D Mangel;Störung im Knochenzellstoffwechsel;Knochenerweichung;Zahnverfall;Hautprobleme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie deckt der Körper seinen Vitamin D Bedarf?;UV-Strahlung der Sonne;80% werden in der Haut gebildet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Aufgaben hat Vitamin C?;Immunsystem stärken;Antioxidans;Kollagenbildung;Eisenstoffwechsel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was sind die wichtigsten Antioxidantien im Vitaminbereich?;A, C, E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie wird Beta-Carotin vom Körper am besten aufgenommen?;zusammen mit Fett, da fettlösliches Vitamin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne drei Aufgaben von Vitamin E im menschlichen Körper;Aufbau Zellmembran;Antioxidans;verbesserte Blutzirkulation;Zellschutz für Haut, Augen, Muskeln, Nerven;bessere Haare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie wird Vitamin B1 noch bezeichnet? ;Thiamin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was sind Symptome von Vitamin B1 Mangel?;Konzentrationsschwäche;Müdigkeit;psychische Labilität;Ödeme;niedriger Blutdruck;Störung Herz- und Nerventätigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was ist Riboflavin?;Vitamin B2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Aufgaben hat Niacin (Vitamin B3)?;zur Bildung von Coenzymen für den Kohlenhydrat-, Eiweiss- und Fettstoffwechsel notwendig;gefässerweiternde Wirkung;für Synthese der Sexualhormone (Östrogen, Testosteron, Progesteron) sowie von Cortison, Thyroxin und Insulin;für gesunde Nerven- und Hirnfunktion;unterstützt die Haut bei der Collagenbildung;Pigmentbildung und Feuchtigkeitsregulierung der Haut;Erhaltung gesunder Schleimhäute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;In welchen Lebensmitteln findet man Vitamin B3 besonders?;Leber, Fleisch, Geflügel, Fisch, Eier, Hülsenfrüchte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Aufgaben hat Panthothensäure (Vitamin B5)?;produziert Antistresshormon;sorgt für gesundes Nervensystem;zuständig für Umwandlung von Kohlenhydraten in Energie;hilft bei Zellbildung;unterstützt die Wundheilung;für die Funktion gesunder Nebennieren;unterstützt Neubildung von Antikörpern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;In welchen Lebensmitteln findet man Vitamin B5 besonders?;Innereien, Fleisch, Eigelb, grünem Gemüse, Vollkornreis, Vollkorngetreide, Hefe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Aufgaben hat Folsäure (Vitamin B9)?;beteiligt an Produktion von DNA und somit wichtig für Zellteilung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;In welchen Lebensmitteln findet man Folsäure (Vitamin B9) besonders?;Blattgemüse, Spinat, Salat, Spargel, Tomaten, Gurken, Vollkornprodukte, Eier;Hämoglobinbildung;unterstützt Proteinstoffwechsel und somit Antikörperbildung;Bildung von Thrombozyten;sorgt für intakte Schleimhäute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne die Mineralstoffe;Calcium;Phosphor;Kalium;Chlor;Natrium;Magnesium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche sind für den Knochenaufbau notwendig?;Calcium;Phosphor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Symptome gibt es bei gestörtem Knochenaufbau?;bleibt lange unbemerkt;Spätsymptome: Rückenschmerzen, Verlust der Körpergrösse, Osteoporose-Bäuchlein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie hoch ist der durchschnittliche Tagesbedarf an Calcium?;1000 mg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Spurenelemente (10) gibt es?;Eisen;Kupfer;Zink;Mangan;Molybdän;Selen;Fluor;Jod;Chrom;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne die Symptome von Anämie;blasse Haut;hoher Puls;Kurzatmigkeit;Müdigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was sind die Aufgaben von Jod im menschlichen Körper?;hilft bei Verbrennung von überschüssigem Fett;notwendig für die Produktion von Schilddrüsenhormonen;verhindert Kropfbildung in der Schilddrüse;Schutz vor toxischer Wirkung radioaktiver Strahlung;fördert die Gesundheit von Haar, Haut, Nägeln und Zähnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welches Spurenelement ist für die Insulinspeicherung wichtig?;Zink;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Warum ist Fluor für die Zähne wichtig?;härtet den Zahnschmelz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welcher Nährstoff wird bei der Gewichtsreduktion nicht gekürzt? Warum?;Protein darf nicht gekürzt werden;Protein wird zum Zellaufbau benötigit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Regeln sind für eine Gewichtsreduktion sinnvoll?;essentielle Nährstoffe nicht kürzen;Energieeinsparung über Kohlenhydrate und Fett;langfristige Gewichtsreduktion;Energieumsatz durch Sport / Bewegung erhöhen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was sind NEM? Wie lautet die Definition?;Wird die gewöhnliche Ernährung durch Stoffkonzentrate erweitert, so handelt es sich um Nahrungsergänzung.;Nahrungsergänzungsmittel werden auch als Supplements bezeichnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was sind Vorteile und Nachteile von NEM?;kann sinnvolle Ergänzung sein, wenn der Bedarf mit der Ernährung nicht gedeckt werden kann;kann überdosiert werden, viel Werbung, Geldmacherei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist beim Kundenfeedback wichtig?;erst positiv, dann negativ;offen und ehrlich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was verstehst du unter Sender-Empfänger-Modell?;Für das Zustandekommen einer Kommunikation sind zwei Partner nötig, Der Sender, von dem die Information ausgeht und der Empfänger, der die Information erhält.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Auf welche Art können wir kommunizieren?;verbal und nonverbal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Wie reagierst du auf Reklamationen im Fitnesscenter?;aktiv zuhören, nicht widersprechen, ausreden lassen;die einzelnen Punkte nachfragend aufschreiben (evt. dem Kunden helfen sie zu formulieren);quittieren - die Sache ernst nehmen - gegenüber dem Kunden eine persönliche Verpflichtung eingehen;Sich für die unangenehme Situation, in der sich der Kunde befindet entschuldigen. Nicht jedoch für die Sache, dafü kannst du nichts.;Fragen wie: Was können wir zusammen tun? Was ist ihr Vorschlag? Welche Lösung erachten Sie als angemessen?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Welche Arten von Muskulatur finden sich im menschlichen Körper?;quergestreifte Muskulatur (Skelett);glatte Muskulatur (innere Organe);Herzmuskulatur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Nenne Unterteilung des Bewegungsapparates;aktiver und passiver Bewegungsapparat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Nenne Hauptaufgaben des aktiven Bewegungsapparates;Bewegung - Bewegungskontrolle;Stabilisation;Haltung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was sind kontraktile Elemente?;Aktin- und Myosinfilamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Wie nennt man die Befestigungspunkte des Muskels an den Knochen und wie werden sie unterschieden?;Ursprung - liegt näher zum Körperzentrum am unbeweglicheren Teil;Ansatz - liegt weiter entfernt vom Körperzentrum am beweglicheren Teil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist eine Muskelschlinge? Drin oder raus?;Muskelschlinge bezeichnet das funktionelle Zusammenspiel verschiedener Muskeln in einer Bewegung;3 Begriffe: Muskelschlinge = Muskelkette = funktionelle Kette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist eine Muskelkette?;= wie Muskelschlinge oder funktionelle Kette;3 Begriffe für das Gleiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Nenne die 'Hintere schräge Muskelkette';Latissimus dorsi, Glutaeus, Thoracolumbar Faszie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Funktionelle Unterscheidung der Skelettmuskulatur (nach Panjabi, Bergmark, Comerford);lokale Stabilisatoren - global Stabilisatoren - globale Beweger (Antara);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist das globale System der Muskulatur?;globales System ist sowohl für Haltung als auch für Bewegung zuständig;Innerhalb des globalen Systems lassen sich Muskeln ausmachen, die mehr für die Haltungsaufgaben und solche, die mehr für die Bewegungsausführung geschaffen sind.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist das lokale System der Muskulatur?;lokales System ist vor allem für die gelenksnahe, die segmentale Sicherung der passiven Strukturen zuständig.;Es ist nicht im üblichen Sinne mit Bewegung trainierbar.;Die Verbesserung der Muskelfunktion erfordert viel Sensibilität und verlangt die Bereitschaft sich auf Körperwahrnehmungsübungen einzulassen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist notwendig, damit eine Bewegung entstehen kann?;ein Gelenk;Muskulatur, welche über das Gelenk zieht;Energie;Impuls;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Definiere die aufrechte Haltung als anatomisches Modell;funktionelle Fussdivergenz;3-Punkte-Belastung;Knie neutral;Becken neutral;physiologische Lendenwirbelsäule (Lendenlordose) mit gehobenem Brustbein;Kopf in Verlängerung der Körperachse;Blick zum Horizont;Schultergürtel auf dem Thorax ruhend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Definiere optimale Ausgangsposition;so neutral wie möglich, alle Segmente in der Körperlängsachse eingeordnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Erkläre die Kontraktionsform: konzentrisch;Ursprung und Ansatz nähern sich aktiv;positiv-dynamisch, überwindend;Muskel überwindet den Widerstand und wird dadurch kürzer, dabei ändert sich die intramuskuläre Spannung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Erkläre die Kontraktionsform: exzentrisch;Ursprung und Ansatz entfernen sich ;negativ, dynamisch, nachgebend;Muskel 'bremst' dabei eine Bewegung ab;Diese From der Belastung bzw. Kontraktion tritt zum Beispiel beim Bergabgehen in der vorderen Oberschenkelmuskulatur (M. quadriceps femoris) auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Erkläre die Kontraktionsform: isotonisch;gleiche Spannung;Muskel verkürzt sich ohne Kraftänderung;Bsp. Wenn ein Gewicht oder Gegenstand sehr langsam um eine kurze Strecke aufgehoben wird;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Erkläre die Kontraktionsform: isometrisch;gleiches Mass;haltend-statisch;Kraft erhöht sich bei gleicher Länge des Muskels und im Gelenk findet keine Bewegung statt;Im physik. Sinne wird keine Arbeit geleistet, da der zurückgelegte Weg gleich null ist.;Bsp. ziehen an einer verschlossenen Tür oder versuchtes Heben eines zu schweren Gewichtes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Erkläre die Kontraktionsform: auxotonisch;verschiedengespannt';sowohl Kraft als auch Länge ändern sich;dies ist der häufigste Kontraktionstyp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Erkläre den Begriff 'muskuläre Insuffizienz';Ein Muskel kann nicht in jeder Länge die gleiche Kraft entwickeln;Die verminderte Kraft in der maximalen Exzentrik und in der maximalen Konzentrik eines Muskels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist die konzentrische Kontraktion?;positiv-dynamisch, überwindend - dabei führt der Spannungsaufbau zu einer Längenveränderung, bei der sich der Muskelursprung und -ansatz annähern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist die exzentrische Kontraktion?;negativ, dynamisch, nachgebend - der Muskel ist stets unter Spannung;Es kommt jedoch zu einer Längenveränderung, bei der sich Muskelursprung und -ansatz voneinander entfernen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist die isometrische Kontraktion?;haltend-statisch, dabei führt die Muskelspannung nicht zu einer Längenveränderung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist die auxotonische Kontraktion?;Kombination von konzentrischer und exzentrischer Kontraktion, wie sie in den üblichen Bewegungsformen im Alltag und im Training vorkommt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Warum ist die übliche Aufteilung in Agonist, Antagonist und Synergist ungenau / vereinfachend?;Je nach Bewegung ist die Zuteilung eines eindeutigen Agonisten schwierig.;Der Ausfall eines (lediglich) beteiligten Muskels kann die Bewegung nicht stattfinden lassen oder  verändern.;Die Wertung eines Muskels in einem Bewegungsablauf ist nicht nur subjektiv zielabhängig und variabel, sondern darf grundlegend hinterfragt werden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist Training?;gezielter, geplanter und dynamischer Prozess mit dem Ziel der Steigerung oder zumindest der Erhaltung sowohl der physischen als auch der psychischen Leistungsfähigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist Superkompensation?;grundlegendes biologisches Prinzip, nach welchem der menschliche Körper auf einwirkende (Trainings-) Belastungen reagiert (=überschiessende Wiederherstellung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Beschreibe in Worten das Prinzip der Superkompensation;Der Mensch befindet sich in seiner Umwelt in einem dynamischen Gleichgewicht (Homöostase).;Wird die Homöostase nun intensiv gestört, Bsp. Krafttraining, so führt dies vermehrt zum Abbau körpereigener Substanzen und somit zum Abfall des aktuellen Leistungsniveaus. ;Um auf eine wiederholte Reizeinwirkung vorbereitet zu sein, reagiert der Organismus nicht nur mir einem Substanzaufbau bis zur Ausgangskapazität, sondern mit einer Wiederherstellung, welche über das ursprüngliche Leistungsniveau hinausgeht.;Es erfolgt somit eine Überkompensation (Superkompensation), ein Substanzzuwachs und letztlich eine Leistungssteigerung.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist Druck?;Kraft pro Fläche;Druck = physikalische Grösse, die beschreibt, wie stark eine Kraft senkrecht auf eine bestimmte Fläche einwirkt;p (Druck) = F (Kraft) geteilt durch A (Fläche);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist 'Newton'?;Gewichtskraft ;Einheit N;internationale Basiseinheit der Kraft;definiert die Kraft die nötig ist, um einen Körper der Masse 1 kg innerhalb einer s auf eine Geschwindigkeit von 1 m / s zu beschleunigen;1N = 1 kg x m/s2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was ist Drehmoment?;Kraft mal Hebelarm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Was besagt das Hebelgesetz?;Kraft 1 x Hebelarm 1   = Kraft 2 x Hebelarm 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Erkläre das Prinzip des trainingswirksamen Reizes (Reizsetzung - Effekt - Belastung);Nur wenn das innere Gleichgewicht des Organismus bedeutend gestört wird, werden Anpassungsvorgänge eingeleitet. Es muss also eine bestimmte passende Reizschwelle erreicht werden im Training.;unterschwellig - unterfordernd, wirkungslos -  zu tiet;schwach - funktionserhaltend - wenig zu tief;überschwellig - fordernd, funktionsverbessernd - optimal;zu stark überschwellig - überfordernd, funktionsschädigend - zu gross;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Erkläre das Prinzip der progressiven Belastung;Wirken Trainingsreize über längere Zeit mit absolut gleichbleibender Intensität auf den Körper ein, führt dies nicht mehr zu Leistungssteigerung, weil sich der Organismus bereits darauf eingestellt und dementsprechend angepasst hat.;Die Belastung im Training muss über Zeit den neuen individuellen Gegebenheiten und dem neuen Leistungsniveau angepasst werden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Wie können progressive Belastungen gestaltet werden?;allmählich steigend oder sprunghaft steigend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Welche Probleme stellen sich bei der Anwendung des Prinzips der Superkompensation in der Trainingspraxis?;Superkompensation ist ein theoretisches Modell;Es ist enorm schwer festzulegen, wann sich eine Person im Bereich der Superkompensation befindet.;Die Erholungszeit ist von vielen Faktoren abhängig.;Sie ist direkt abhängig vom aktuellen Trainingszustand und von der Belastungswirkung, indirekt u.a. von Ernährung, Stress, Schlaf (Erholung).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Erkläre das Prinzip der optimalen Belastung und Erholung;Die positive Anpassung des Körpers erfolgt nur, wenn er genügend Zeit bekommt  für vollständige Regeneration sowie sich zu verbessern (Superkompensation).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Erkläre das Prinzip der regelmässigen Belastung;Für das Erreichen von struktureller Veränderung müssen wirksame Belastungsreize über längere Zeit und regelmässig gesetzt werden.;Erst dies führt zu stabilen Anpassungen resp. zu Adaption.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitnesstrainer;Warum ist es auch sinnvoll 'nur' einmal por Woche statt kein Mal ein Krafttraining durchzuführen?;Spätestens ab 30 sinkt die individuelle Leistungskurve langsam aber stetig. ;Ein Training einmal / Woche kann zumindest helfen, die aktuelle Leistungsfähigkeit möglichst lange aufrecht zu erhalten und weniger rapide sinken zu lassen (Alterungsprozess).;Ein Training pro Woche bedeutet somit aktive Altersvorsorge.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
